sim_id,trajectory_type,disturbed_inputs,simulation_time (s),time_sample (s),N,M,mpc_success,num_iterations,mpc_RMSe,mpc_execution_time (s),operation,failed_rotors,ang_speed_percentages (%),mpc_min_phi (rad),mpc_max_phi (rad),mpc_mean_phi (rad),mpc_std_phi (rad),mpc_min_theta (rad),mpc_max_theta (rad),mpc_mean_theta (rad),mpc_std_theta (rad),mpc_min_psi (rad),mpc_max_psi (rad),mpc_mean_psi (rad),mpc_std_psi (rad),nn_success,nn_execution_time (s),nn_RMSe,nn_min_phi,nn_max_phi,nn_mean_phi,nn_std_phi,nn_min_theta,nn_max_theta,nn_mean_theta,nn_std_theta,nn_min_psi,nn_max_psi,nn_mean_psi,nn_std_psi,radius (m),period (s),inter_position_RMSe,RMSe_u0,RMSe_u1,RMSe_u2,RMSe_u3,RMSe_u4,RMSe_u5,RMSe_u6,RMSe_u7
1,point_failure,False,20,0.02,60,10,True,999.0,8.689554183945877,40.175457099685445,total_failure,0-1,0.0-0.0-100.0-100.0-100.0-100.0-100.0-100.0,-3.656417462814345,1.3653527974525668,-0.11699121370055938,0.5013194631462271,-0.7071740675766108,1.5271207988312383,0.018773208636158775,0.3133311474686942,-1.1995945011937594,2.4324020187953206,-0.13123408124936004,0.6401695019483087,True,4.175833897665143,0.7671637886663912,-0.6233542648366889,0.511846276415207,-0.006798707329839332,0.25411522150368954,-0.2632251950494339,0.21274535701858446,-0.0021900154760374165,0.08899178955567495,0.0,0.3799993425480847,0.11247546145985299,0.10090815695116766,nan,nan,8.60775977802206,0.0,0.0,27.950743264605876,53.2101204602991,55.76879785123752,63.62202758534758,48.370055757439985,29.309700769432332
2,point_failure,False,20,0.02,60,10,False,nan,nan,nan,total_failure,0-2,0.0-100.0-0.0-100.0-100.0-100.0-100.0-100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,point_failure,False,20,0.02,60,10,True,999,0.1234648982382362,21.856325504602864,total_failure,0-3,0.0-100.0-100.0-0.0-100.0-100.0-100.0-100.0,-0.26032606759623395,0.18754750490927594,-0.0005955030883351685,0.03472311569751229,-0.544893318892151,0.36733812106895863,-0.0015001913410507977,0.07943955220411598,-0.002044270193007264,0.07213942001384993,0.0018472695334049308,0.007973826759314205,True,3.1332186951767653,0.06905653867670036,-0.014877392252094591,0.012046625308981696,-9.822174711383554e-06,0.002803853879207157,-0.0018111185660844849,0.0012981709198933724,-1.490117775967036e-05,0.00044169938715949217,0.0,0.10498975894852915,0.06958279844568661,0.01461103901479561,nan,nan,0.1464069866714061,0.0,4.605986747240841,4.4118059018311895,0.0,4.519154096128474,4.3163318913219655,4.465654761913377,3.6766130946922733
4,point_failure,False,20,0.02,60,10,True,999,0.09626047290590563,24.167361804982647,total_failure,0-4,0.0-100.0-100.0-100.0-0.0-100.0-100.0-100.0,-1.4384592687404607e-13,1.2260757658924684e-13,-4.0065572009149906e-16,2.5865445764300946e-14,-8.145964860802958e-14,7.17016761278499e-14,-2.496656260308592e-16,1.2685519780869504e-14,-0.3562759541750031,0.04302873384038641,-0.02009474401727542,0.07463975384876716,True,3.0457754996605217,0.07921324221133576,-0.017495979411598247,0.01117063044537215,-1.4317381795124045e-05,0.0029885185606274237,-0.0026171580065396023,0.005510355894139424,3.513226226882268e-06,0.0008056316356530006,-8.514488516644026e-05,0.008799234202107742,0.005202577486338016,0.001672518660025824,nan,nan,0.11886071586110587,0.0,3.2635094272286005,10.963587430565493,4.162220596174024,0.0,4.176115245982083,10.892773662364771,3.2875105430325577
5,point_failure,False,20,0.02,60,10,True,999,0.12345621235344499,21.613013599067926,total_failure,0-5,0.0-100.0-100.0-100.0-100.0-0.0-100.0-100.0,-0.260350225370695,0.18785733418037825,-0.0006036511509489639,0.03473643145838253,-0.3675896021227834,0.5451976193906112,0.0014969506816426912,0.0794972653224743,-0.0716929348356718,0.0024358510953050227,-0.0018962519742376717,0.008027001448944531,True,4.244588004657999,0.13980893880087028,-0.037468012878714985,0.03290736342357402,-3.611099569252464e-05,0.0069630343567673066,-0.11121540684865192,0.09300459624137072,0.00010168392833597913,0.019972550491342663,0.0,0.149914022832231,0.10979187074610902,0.021153690491471044,nan,nan,0.17821115505508867,0.0,5.84897556125799,5.066837972290773,5.427387044284318,6.8660572149265615,0.0,4.27465160516212,3.879471335501859
6,point_failure,False,20,0.02,60,10,False,nan,nan,nan,total_failure,0-6,0.0-100.0-100.0-100.0-100.0-100.0-0.0-100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,point_failure,False,20,0.02,60,10,True,999,7.3229709598465,30.974669801304117,total_failure,0-7,0.0-100.0-100.0-100.0-100.0-100.0-100.0-0.0,-3.6426386005768565,1.2887776951926102,-0.045658065351909555,0.49461182726468905,-1.5072786955151762,0.5653103281693918,-0.037552076111877684,0.28262325701225804,-2.295616801712861,1.1787086118199204,0.11694574191300809,0.5283530884194497,True,4.089451001258567,1.6554426798542625,-1.0162937164227697,0.669520995754408,-0.02491636465994435,0.36630979514233797,-0.31585977006183297,0.38818114558004896,-0.003145351972880751,0.13518005260824564,-0.34728136487862205,0.7947940367751706,0.1971187340099786,0.23196593215500225,nan,nan,6.7366718836056805,0.0,22.436476463793685,38.84868018076091,52.33137307121968,56.03505821039868,48.44616146528096,20.585032803650307,0.0
8,point_failure,False,20,0.02,60,10,False,nan,nan,nan,total_failure,1-2,100.0-0.0-0.0-100.0-100.0-100.0-100.0-100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,point_failure,False,20,0.02,60,10,False,nan,nan,nan,total_failure,1-3,100.0-0.0-100.0-0.0-100.0-100.0-100.0-100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,point_failure,False,20,0.02,60,10,True,999,0.1234388179118923,20.131883898051456,total_failure,1-4,100.0-0.0-100.0-100.0-0.0-100.0-100.0-100.0,-0.18764580213974816,0.26015750705074464,0.0006056062830977667,0.034699905666651806,-0.5448809670109014,0.3671688601277121,-0.0015013046837774417,0.07942206193948317,-0.07159569802381184,0.0024291016409979838,-0.0018930958340397737,0.008013331977245458,True,3.098311198875308,0.070991403093115,-0.00548027055466749,0.0026472208087711204,-3.94171648891527e-05,0.0008653732686931329,-0.021692125933880757,0.03078300836267773,4.495576114534292e-06,0.005210041495533989,0.0,0.10057545413555925,0.07709462589604496,0.013758711813924344,nan,nan,0.15112091145407666,3.66015055652779,0.0,4.009345896696553,4.096608989798904,0.0,3.611387280797335,4.504382009113395,4.147672552883638
11,point_failure,False,20,0.02,60,10,True,999,0.024858092585598245,19.154952802462503,total_failure,1-5,100.0-0.0-100.0-100.0-100.0-0.0-100.0-100.0,-2.2586280873745793e-14,2.422264853026079e-14,-4.0160663829127625e-16,6.93673635191486e-15,-3.0779890125288154e-14,3.4875162949351064e-14,2.3361359020419843e-16,6.611584020845899e-15,-0.049784179792453975,0.49796311961655393,0.02811072537613784,0.10338628494757604,True,2.994274305179715,0.1532246026523869,-0.037929745701198156,0.042227662805112434,6.826036090956052e-06,0.008716729826635308,-0.006579811479549697,0.012439922654442067,8.617161086638196e-05,0.0022891500192553046,0.0,0.13265461061505326,0.107728642724901,0.018635721890871943,nan,nan,0.15508008545030388,3.3969905697149,0.0,3.4094724053319596,5.519417441148801,3.559906845522539,0.0,3.500951902722792,5.547082020178752
12,point_failure,False,20,0.02,60,10,True,999,0.1232902665000501,20.694292499683797,total_failure,1-6,100.0-0.0-100.0-100.0-100.0-100.0-0.0-100.0,-0.5594106697837478,0.3693091378849629,-0.0014889505676740735,0.07950354734834476,-0.1826297815298268,0.22427642130880998,0.0005712909955253512,0.034550662656694736,-0.06604150598377392,0.03357780303842171,0.0010614063512610758,0.009640987618694046,True,3.1119203015696257,0.04052166749856005,-0.004605319046354337,0.0031321269060950803,-2.110217783597395e-06,0.000836751895577895,-0.018100977951992087,0.02027471556927176,5.58768213839279e-06,0.0035748977410418846,0.0,0.011321208473456766,0.008420213322299915,0.0014705470954277805,nan,nan,0.12890507862880898,5.318462400274193,0.0,6.621766257925653,6.560993530391549,5.141604345211974,4.819008147529215,0.0,4.0080663947376465
13,point_failure,False,20,0.02,60,10,False,nan,nan,nan,total_failure,1-7,100.0-0.0-100.0-100.0-100.0-100.0-100.0-0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14,point_failure,False,20,0.02,60,10,True,999,19.983637101342072,39.33575779874809,total_failure,2-3,100.0-100.0-0.0-0.0-100.0-100.0-100.0-100.0,-2.6437847952219746,3.1780130856727005,0.020091889122502603,0.5529569742872894,-1.1699854386619406,1.4150921349340608,0.013536624290426775,0.4075836365935478,-4.695729550264169,1.412484021862941,0.22235910746981488,0.9815393485473216,True,3.881975501542911,10.910575159531792,-2.6747523330306584,1.7931105109549361,0.042527533467904104,0.4974295067211936,-1.4897755278091185,0.27299038617215826,-0.07274346124747107,0.24617405701117567,-2.7893614982490567,0.3555096791770234,-0.3474621358266008,0.3819832034146605,nan,nan,19.15413758303473,57.57933514702319,30.17586055318738,0.0,0.0,26.387886374301274,62.396653455198376,84.63962124827084,71.38493689966724
15,point_failure,False,20,0.02,60,10,False,nan,nan,nan,total_failure,2-4,100.0-100.0-0.0-100.0-0.0-100.0-100.0-100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
16,point_failure,False,20,0.02,60,10,True,999,0.12392586052695849,24.740691198967397,total_failure,2-5,100.0-100.0-0.0-100.0-100.0-0.0-100.0-100.0,-0.38612881322784903,0.5712699512015479,0.0012719023181948243,0.08237546421077785,-0.22845573084075133,0.19018129406364814,-0.0004994895152636107,0.03600294176137166,-0.06881908264943443,0.0353781573451861,0.0011100678195624185,0.010271052630004187,True,3.0947532951831818,0.0485939713365236,-0.0027089103326975224,0.002258497735910143,5.06499922817996e-06,0.0005593723904420667,-0.014102667557615607,0.008031532786566976,-4.4946731150468955e-06,0.0022636262145540862,0.0,0.02453004070106941,0.02033389435234371,0.003662870639284273,nan,nan,0.13427982965314839,4.095578548823243,3.6171362842523895,0.0,3.742144594311804,4.2460493028069815,0.0,4.253099656032739,4.752586059128806
17,point_failure,False,20,0.02,60,10,True,999,0.02510523257236182,19.434033998521045,total_failure,2-6,100.0-100.0-0.0-100.0-100.0-100.0-0.0-100.0,-9.292314990957859e-15,7.632319060419832e-15,-3.725449917430221e-16,2.3919746112010522e-15,-1.5500404339741238e-14,1.4318742015649696e-14,-7.226701746189535e-17,2.993145110689313e-15,-0.49755118257964426,0.04976977278067274,-0.028088227792514776,0.10330455440811973,True,3.5689340012613684,0.6391932679691272,-0.1184285103568189,0.2314281481997634,0.006981844818774012,0.06721854849870725,-0.3020814545727932,0.3373538512457534,-0.0034544061535179173,0.1239584887971155,-0.0804120686021511,0.25875946130973526,0.03517808548025548,0.10712552233871764,nan,nan,0.6392263254767047,10.168612170094486,9.426023185233607,0.0,9.233200294032132,10.281071969653217,9.025096949236865,0.0,8.926993921979827
18,point_failure,False,20,0.02,60,10,True,999,0.12328000485022177,20.450483900029212,total_failure,2-7,100.0-100.0-0.0-100.0-100.0-100.0-100.0-0.0,-0.5595026375383491,0.3691433473345656,-0.0014961924266273668,0.07948753646202288,-0.22403482140001282,0.18310006450236754,-0.0005580937618965911,0.03461341526279995,-0.03313672058274397,0.06660689624840464,-0.0011311205892925353,0.009725497066590849,True,3.4363946984522045,0.1428153302837178,-0.021307589109331723,0.01797611082990263,-7.4205391246895e-05,0.004767992963600286,-0.052364485536657276,0.038367994126008644,-9.226105426575688e-05,0.009770623567435075,-0.02351223202119593,0.0,-0.01571220544176948,0.0032416201448763264,nan,nan,0.18152777754114174,3.969719430802439,3.8347531575071256,0.0,4.038434582202802,4.123526867590993,3.960471548617725,3.7798511038728977,0.0
19,point_failure,False,20,0.02,60,10,True,999,8.629005766160466,31.004187100334093,total_failure,3-4,100.0-100.0-100.0-0.0-0.0-100.0-100.0-100.0,-1.4805999829431729,3.6414974333618506,0.018938907999605237,0.5046663499744726,-0.7016797809455307,1.5269192995302365,0.015527683846704336,0.3218036887377726,-2.6993025903663272,1.1976072036075809,0.10566250559477086,0.560419689310308,True,3.922628604574129,1.7427126290692572,-0.586515037081396,1.1600771095085145,-0.003976531696637968,0.3013439245415607,-0.7669159949490041,0.6478572227659657,-0.02108255223215074,0.23739449439771004,-1.317765229794971,1.1212157983851074,0.001132931837989986,0.38738887462772914,nan,nan,8.397023540509451,70.24561032295595,59.61574792600894,23.121279806938762,0.0,0.0,26.493604972692406,48.92711403057882,68.19870788833401
20,point_failure,False,20,0.02,60,10,False,nan,nan,nan,total_failure,3-5,100.0-100.0-100.0-0.0-100.0-0.0-100.0-100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21,point_failure,False,20,0.02,60,10,True,999,0.12328932232432462,20.561253699474037,total_failure,3-6,100.0-100.0-100.0-0.0-100.0-100.0-0.0-100.0,-0.36935679008795447,0.5596784561645386,0.0014938632086556305,0.07952580871839571,-0.18320067276276622,0.22409850095753533,0.0005573155800749424,0.03463283438073271,-0.03315843121055518,0.06664880836396718,-0.0011316694334566307,0.009733573168187196,True,3.133012007456273,0.22978718443126991,-0.05204852457367461,0.029523567245842198,7.665303847661945e-06,0.008260356461822561,-0.03533589507773393,0.05487935021950972,6.63510008215015e-05,0.008673768122279369,-0.04978645973473781,0.0,-0.03555518715203404,0.006505013133694695,nan,nan,0.2659592420892972,4.33918780919478,4.598309136661206,3.8744813857632603,0.0,4.37579709111195,3.9633633508998405,0.0,3.4942707905804546
22,point_failure,False,20,0.02,60,10,True,999,0.02486344204961848,19.66083469823934,total_failure,3-7,100.0-100.0-100.0-0.0-100.0-100.0-100.0-0.0,-2.375834956315185e-14,1.845451919381371e-14,3.249492402006588e-16,7.90560521674673e-15,-5.2999681740057623e-14,5.246135464217257e-14,-3.429485755787572e-16,1.0232532576829026e-14,-0.04978386686355463,0.49795419091638693,0.028110237723048444,0.10338451334309537,True,2.9790951006580144,0.1252425304204648,-0.02329799108058665,0.011656906983361333,-2.8258061340979316e-05,0.003648057889682718,-0.011615313624590099,0.024121369772181038,3.819233902574301e-06,0.004302522218195055,0.0,0.028721929072313912,0.02035197072999378,0.00408040780744627,nan,nan,0.12641240364942424,3.4919622573781566,5.657805691411795,4.008676044554409,0.0,4.011912496275314,5.661316476296605,3.492303455415428,0.0
23,point_failure,False,20,0.02,60,10,False,nan,nan,nan,total_failure,4-5,100.0-100.0-100.0-100.0-0.0-0.0-100.0-100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,5.0698238962795585,0.3011020960422841,-0.16412885377815847,0.18211893740887455,0.0009319460396403381,0.06543136321642373,-0.08821713755172621,0.09339825563258905,0.0007220782323856087,0.022578360925599655,0.0,0.3307967866083569,0.2397907759480583,0.045177047602384855,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24,point_failure,False,20,0.02,60,10,False,nan,nan,nan,total_failure,4-6,100.0-100.0-100.0-100.0-0.0-100.0-0.0-100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,point_failure,False,20,0.02,60,10,True,999,0.1241056424912839,30.409573699347675,total_failure,4-7,100.0-100.0-100.0-100.0-0.0-100.0-100.0-0.0,-0.19595258624242698,0.2670205078223677,0.0005007082579898412,0.036129373465438167,-0.38408358201596987,0.5558809598177491,0.0012951976610941598,0.08233182454574409,-0.0023319445929774222,0.0755813218845151,0.0019644748438754187,0.008502025146789998,True,4.560414900770411,0.10645450053195285,-0.02385654457222796,0.026994092537549592,3.086925650966941e-05,0.0050855796548946635,-0.016268619630060977,0.017397563252534286,1.1915916762068823e-05,0.0030628399480874522,0.0,0.07110832840942506,0.05094836881383533,0.009572529574612163,nan,nan,0.16045904639026687,3.2901775365673043,3.8919112754010263,3.8434259289115498,3.59652888463489,0.0,3.6996258986230073,4.2020189578817515,0.0
26,point_failure,False,20,0.02,60,10,True,999,45.04459368769768,53.57918489794247,total_failure,5-6,100.0-100.0-100.0-100.0-100.0-0.0-0.0-100.0,-2.6060966876522795,3.1691558393559345,-0.005695497540875626,0.5551209664285661,-1.3996735460845804,1.1706906678098392,-0.0066567379777614346,0.4320941780309173,-1.2000025454190753,4.662116553360911,-0.3602858915028777,0.9170414447291234,False,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
27,point_failure,False,20,0.02,60,10,False,nan,nan,nan,total_failure,5-7,100.0-100.0-100.0-100.0-100.0-0.0-100.0-0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
28,point_failure,False,20,0.02,60,10,True,999,28.426077047500293,56.21749700047076,total_failure,6-7,100.0-100.0-100.0-100.0-100.0-100.0-0.0-0.0,-3.100562547364554,2.694230332322458,-0.014695119500876081,0.5246370998550736,-1.309342926589728,1.164309525479278,-0.060884657750597225,0.38085237921586085,-4.29575570771581,1.5278610664728178,0.051361691127015885,1.0686423182742615,True,3.526275899494067,0.14181859718035852,-0.053941865577150874,0.0502817507863739,2.843554837260353e-05,0.012412978482314443,-0.09613927595981932,0.11711600902350996,3.6392383306321064e-05,0.02330205278901002,0.0,0.04067194595162512,0.032757929569022605,0.0064476128527318245,nan,nan,28.39076710769054,32.932589879150136,59.79126100429074,74.15549793472158,66.57203900068772,61.516309327835806,30.62233708916889,0.0,0.0
