sim_id,trajectory_type,disturbed_inputs,simulation_time (s),time_sample (s),N,M,mpc_success,num_iterations,mpc_RMSe,mpc_execution_time (s),operation,failed_rotors,ang_speed_percentages (%),mpc_min_phi (rad),mpc_max_phi (rad),mpc_mean_phi (rad),mpc_std_phi (rad),mpc_min_theta (rad),mpc_max_theta (rad),mpc_mean_theta (rad),mpc_std_theta (rad),mpc_min_psi (rad),mpc_max_psi (rad),mpc_mean_psi (rad),mpc_std_psi (rad),mpc_max_omega0 (rad/s),mpc_max_omega1 (rad/s),mpc_max_omega2 (rad/s),mpc_max_omega3 (rad/s),mpc_max_omega4 (rad/s),mpc_max_omega5 (rad/s),mpc_max_omega6 (rad/s),mpc_max_omega7 (rad/s),nn_success,nn_execution_time (s),nn_RMSe,nn_min_phi,nn_max_phi (rad),nn_mean_phi,nn_std_phi,nn_min_theta,nn_max_theta (rad),nn_mean_theta,nn_std_theta,nn_min_psi,nn_max_psi (rad),nn_mean_psi,nn_std_psi,nn_max_omega0 (rad/s),nn_max_omega1 (rad/s),nn_max_omega2 (rad/s),nn_max_omega3 (rad/s),nn_max_omega4 (rad/s),nn_max_omega5 (rad/s),nn_max_omega6 (rad/s),nn_max_omega7 (rad/s),radius (m),period (s),inter_position_RMSe,RMSe_u0,RMSe_u1,RMSe_u2,RMSe_u3,RMSe_u4,RMSe_u5,RMSe_u6,RMSe_u7
1,circle_xy,False,10.0,0.02,60,10,True,499,5.226082873200458,17.571018399896275,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7001497178295549,0.7001448863291463,0.029324888650330116,0.28255586214629824,-0.07742924685354738,0.3237599325465561,0.021369599384770545,0.07592364992416128,-0.24966294135348777,0.0785893480320318,-0.013258213581116018,0.030441223449223433,283.71019417011274,283.04351828875724,282.2360015493321,281.1778608641358,280.2058888828095,277.91011248440236,279.2433238215971,281.5576182742336,True,1.0265952999252477,5.2233821039895725,-0.7500024780429582,0.6941231194419537,0.024355222062584784,0.2744155971769685,-0.21453446430759543,0.40414714050115413,0.026175291475634146,0.12194411148747798,-0.36864390664257957,0.06973408975654655,-0.05804689978932494,0.11367104466323279,287.54846360104796,286.26100181535304,293.511864648995,285.0954529390511,292.3262312199081,284.01670819602134,292.8687652278068,283.767954104095,5.0,0.5,0.24393519955244805,8.961636885545442,7.85976614762609,7.856543300719299,8.681313056003521,7.317382584096125,7.850015718310673,7.245226301360262,7.696601083332863
2,circle_xy,False,10.0,0.02,60,10,True,499,5.242898621711925,17.004813199855562,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.701077830862555,0.6228457847245858,-0.040389048073721616,0.26307198246357527,-0.3505027512313607,0.7000209970886387,0.05261194582594018,0.21610658858584048,-0.06543398732297247,0.25708640064476646,0.10007396612244153,0.05079547042682496,281.7286183043538,281.38339657596464,285.6985614954701,287.49130130627765,289.072007171656,287.9809479017838,286.4806166419948,283.16690911503144,True,1.455094599914446,5.2319309473759645,-0.8208575826917445,0.5196731345495803,-0.030097751713595352,0.23957573278022126,-0.29573943811186953,0.7119415565047933,0.044616508755314886,0.17298056564146325,-0.2642054110418205,0.2833674878852687,0.07361470662916038,0.1418380401147768,265.22664852977834,268.3371997341891,279.0049833241288,271.3309622512102,276.5779938572834,271.69422632755885,281.4080075648067,269.1623231649995,5.0,0.8,0.3151835180041799,12.653900917990939,11.888915435709777,12.208529840478267,12.56096289427324,12.09689774374956,12.105388272045792,12.583864329278471,11.240378741817581
3,circle_xy,False,10.0,0.02,60,10,True,499,5.421217963447709,17.405748899931496,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7165047472422649,0.7090470146337494,-0.04748418913624418,0.4800245666346016,-0.8534162590146571,0.706553053305213,-0.039515209887313094,0.41346677652968367,-1.3473429186326713,0.6369791016756057,-0.5982858694323258,0.4977957446202204,317.88630653253017,291.81625222450606,342.770787989644,293.15995068511864,330.39814440175405,291.7209063717844,311.03256580774195,290.36223235595196,True,0.9725124000033247,5.305333078424554,-0.7921441510635877,0.6548371472777617,0.015141490889381281,0.4605753334517843,-0.7548905212917026,0.756202622659464,-0.008900122916839635,0.4610850077678858,-1.0235863773099965,0.2978782101363919,-0.52853330157229,0.30043345731045124,285.6042192217126,274.644210844671,282.8477323877792,268.3418436525562,278.09652974813724,273.431443482025,282.98747584574363,277.94513712848016,5.0,1.0,0.8083633566161791,26.403997300500777,19.554051516788864,20.081039425268,18.8153014522739,28.014935168821825,21.30208730959328,18.766322112015693,20.823556100954995
4,circle_xy,False,10.0,0.02,60,10,True,499,5.326214576428305,21.112750099928235,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7094709636205425,0.7259639149797932,0.004010669565427435,0.4983924841520294,-0.7267319350952376,0.9650647483699185,0.059502080245609046,0.481721648505093,-1.094428945464786,1.4839279826685718,0.33140953984484117,0.630765039611553,309.72400349158505,325.8086532038238,296.11378449924445,329.43101696664036,299.99919542898385,342.7707879896441,307.19300353113016,342.770787989644,True,0.9634855001204414,5.435243323839295,-0.7312227125003754,0.8360548161827451,0.006861028171790224,0.5028966260092053,-0.8226520672157155,0.8762962011378942,-0.001305396343809493,0.5427326337113123,-0.47730012956871554,1.3495497215471166,0.3487924773733606,0.4591714765063971,301.2514973291991,321.73039955822225,301.0708979741826,321.14287066632403,296.875021060466,316.92770191451234,300.583596633598,319.1514935041461,5.0,1.2,1.4772533714360563,32.376846759021454,28.33921537302292,40.86850512769154,30.331157464931792,31.06979614539259,27.882899770342842,24.410074912243264,44.47285431681113
5,circle_xy,False,10.0,0.02,60,10,True,499,6.222839692601209,24.413893699806067,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-4.5627878169133655,0.7232312957522101,-0.5439990506183363,1.2712387299283072,-1.3582196431599245,1.488388160749732,-0.002767089792088436,0.5983860366142535,-27.21306952204471,0.973655270378373,-2.0767338987313715,4.928277221551899,342.770787989644,323.83589701606195,342.770787989644,316.4886921203706,342.7707879896441,309.9614366612531,342.770787989644,324.10323674505304,True,0.9373775000567548,5.292007727787841,-0.7684126348070587,0.8834819139253676,0.1752588429069076,0.535394192013599,-0.8707196710486268,0.9505987995632509,-0.07036072348155366,0.4887825480892067,-1.3260762125861822,0.7766094509210771,-0.3944561027079304,0.5094133517682543,292.9790324815685,306.1156491610784,305.20410045555354,290.3041968375289,303.36367144966994,295.81898033481576,294.55940372794225,298.2943365936618,5.0,1.5,3.685276965593321,57.53843636207953,71.24568786350363,46.79152544925664,75.22521041142775,48.72875560400668,75.22199906152106,47.271805437130745,76.19422777445118
6,circle_xy,False,10.0,0.02,60,10,True,499,5.15583825519913,18.096418500106665,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7221777810431856,0.7231159794376382,0.03113635212499591,0.5603623675695659,-0.7114966601090996,0.7185016059794528,0.047874628274882466,0.5614200038749264,-0.19223726770887328,1.2254569384242833,0.6944259287268487,0.29704958573501883,341.00996748273286,337.00135984481335,317.976600725204,325.7820185079721,331.20290287639364,325.5079413824461,317.3104334595157,338.1434882745836,True,0.9575096999906236,6.068208741875533,-0.8476541020044054,0.8065252331357595,0.06560907092467569,0.525858375477678,-0.9373229975076387,0.8565602073861228,0.0404746737581068,0.5502043025096452,-1.2482265420210974,1.3185233671966854,0.3174941561314568,0.6141660462589986,307.3952209060469,315.65682430783374,320.84529749701466,322.41425442242644,317.70829913935853,324.88735178313425,325.75916766512563,329.1720684090673,5.0,1.8,3.205094738578333,30.18137925794638,32.52192731943304,28.09273395416146,33.43995459387173,32.49397638825209,32.4748015238514,31.275893154102857,30.39738936528376
7,circle_xy,False,10.0,0.02,60,10,True,499,4.9603123503221305,17.897288900028798,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7220057093861412,0.7217355505391368,-0.023416109088584405,0.5928270786773131,-0.7118084661393006,0.7125450353002646,-0.008431188054319258,0.5651188376408719,-1.160338938278751,0.07708703404224221,-0.6611832096107196,0.27183440016711063,340.68313993886414,335.13649098937316,320.2098313100284,323.2088853392279,329.8144118692677,326.56977638757564,316.6347988139742,337.7213334056253,True,0.906890900048893,5.661568250348541,-0.7815642835724217,0.926192936931435,0.13626436731763797,0.5398198173534297,-0.9670634983925617,0.7601427306445387,-0.029296340167674295,0.5250995731893636,-1.4279393143169903,1.2965250559103232,-0.11879602443128079,0.6872566035716534,315.027802155332,323.1574746148884,328.2978822152218,304.5347183712019,315.22353325790743,317.89939845711086,321.04220217111356,316.5862679964739,5.0,2.0,2.7804607513507973,40.18840631250001,30.44144333877047,32.59648732692992,30.081515353684132,45.14991725259508,33.03137337509851,34.53825485692054,34.801708663189814
8,circle_xy,False,10.0,0.02,60,10,True,499,4.78879213915982,20.376622000083444,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7239896838033759,0.724067086008667,0.07500667398760104,0.5932621098736728,-0.7094939874248654,0.7115783423787415,-0.0015092838925274954,0.5713846943317548,-1.2074450687557456,0.21211605999836983,-0.5992781551456077,0.2970546129937975,333.03323238008636,333.3220131065538,317.38776827900955,311.2925129547645,329.49140232296077,319.45191872793924,312.8928341455447,331.98906898798504,True,0.921354100042663,5.679700013211543,-0.8516964240273167,0.9580959155952632,0.05955033412747267,0.5634939065218746,-0.9660114736751535,0.7540858679786905,-0.021485909208761336,0.522421733428248,-1.606785953708872,0.9203299542062288,-0.2384595817129801,0.5823287976943121,314.2413961906189,315.09477874930576,334.7322255312585,307.82160140308144,320.90762483079425,320.5652817242481,325.0422929456332,326.455766585966,5.0,2.2,2.5640100308629705,40.816879478403266,26.786962995910297,31.293613878065166,25.681581398269213,46.481780716597775,27.223314259378476,33.08754066279839,28.16937695365877
9,circle_xy,False,10.0,0.02,60,10,True,499,4.7794447750773665,19.933756299877132,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7273438025596176,0.7266318891565109,0.016605714328458313,0.5953296144890798,-0.7095575750766635,0.7127460597856314,0.0074489087860630234,0.5842814962389498,-0.35456877251206026,1.2104354246652935,0.5322892216072014,0.32868874569155326,320.7256496414836,309.30036878146785,314.24673122871695,318.5309304872016,328.049647942922,324.56607588749097,308.36871894483033,314.40114260506084,True,1.0169681000770652,5.3999503724191715,-1.2206286028217481,0.8562877273656682,-0.14357997359127872,0.5374059932751832,-0.872700929362875,0.7872333034193216,-0.09625985345736353,0.5972844609116401,-0.6247851438908064,1.2179298838912227,0.36238104410758976,0.42793274467535986,303.49636036000675,324.78806497747905,304.3501172369613,321.5504929219168,306.193035774786,328.5533667700411,315.2048549080706,332.3854773283818,5.0,2.5,3.1110768592075515,38.24372330959065,44.78996140359114,40.121512904166565,44.97371350883298,41.15996839818673,44.0673389726116,43.07263166480161,43.26533732477187
10,circle_xy,False,10.0,0.02,60,10,True,499,4.580105187787074,19.706361700002162,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.727914174020844,0.7307543414811891,-0.053655513674381955,0.5812525388590638,-0.7086547871680221,0.7074026517558479,0.04771725550023592,0.6019586443327497,-1.1248447487816833,0.4296784992776319,-0.4743703870793624,0.34001118651545664,318.5551160347148,319.93107359708455,328.956626611672,324.8850787199184,324.97533642594965,317.1342222233809,316.85527476044666,310.50142964858867,True,1.0039327000195044,6.97325918636384,-0.9434304598704215,0.8870967108790736,0.010793773634167019,0.569776538355611,-0.8097127545610833,0.7879317346325644,0.19715055795253886,0.5018613833701914,-1.3402067084776281,1.5370095177653202,-0.14817052750578893,0.7042061087821088,328.2479003719802,321.64000290262845,341.50105264751164,323.53458696556567,339.62108844611896,327.4269351026905,342.7707879896441,326.1516295953369,5.0,2.8,5.301703530927295,50.37665126711016,50.15047289634996,53.89650776694048,48.51717267004434,54.7627011646376,49.15568515086119,54.315594853172925,50.961875410525295
11,circle_xy,False,10.0,0.02,60,10,True,499,4.671636155085528,18.782080000099086,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7241601591783019,0.7240072774911573,-0.06059004080685689,0.5939793408779732,-0.7116167902560336,0.7113944538356096,-0.026239837220042653,0.6003412907182653,-1.091307703878341,0.38809616437081274,-0.4358299143010567,0.34690611251517633,330.9525662661639,329.9369736398303,342.77078795556156,333.7507923381373,325.0256609190578,329.4262395094462,342.7707879619375,324.54393461941527,True,0.9876080999456462,5.9576226716292355,-0.911301549460166,0.9766537987751794,-0.03554783658572679,0.5761569496644807,-0.7825296677044251,0.7260739616556294,-0.002661727855274421,0.5335608847204923,-1.2031530660468572,0.9441076162903236,-0.22813272224546255,0.5347753215647206,317.3749277225066,313.9752347762379,323.3968779708978,320.20731710493783,317.26268805981215,318.94793599672096,316.2844927553772,315.3495539592114,5.0,3.0,3.754648824406589,44.37226630723881,37.33891076756589,39.68165577183376,43.43480856698117,41.95729993035177,37.26110084953648,44.74357642666645,36.9804038656063
12,circle_xy,False,10.0,0.02,60,10,True,499,4.991941401406989,19.732227500062436,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7250520556897615,0.7267284119274492,0.10644214892545269,0.5807971331777013,-0.7134408528598029,0.7091249182039692,0.06605577503819776,0.6081957997102204,-1.1505577817851262,0.5595345406606984,-0.3133992080127457,0.4299829073452075,334.8804541434608,338.89038617310865,327.9950417583059,339.58765754861184,331.6231158282906,334.5610387880545,337.6915404287208,332.4613152881779,True,1.0311444999388186,6.435168698341269,-0.8887277806845922,0.8241639735174272,0.026928086073696463,0.5694609055249125,-0.7897739354891192,0.7021049201171266,0.10771490890417214,0.5285732065595566,-1.1981047798286317,1.193183181495085,-0.1753484316172581,0.566579681133955,319.65146415447884,317.91627098221704,334.0518247629888,314.34508321947584,327.75288132743833,316.38226038303304,330.7675184332367,315.9614123618575,5.0,3.2,4.593253938555853,49.2524341107704,41.76058722392868,47.22797654423075,44.2283361058534,48.78533321424926,41.022025857251364,48.53672482823048,41.76480305207412
13,circle_xy,False,10.0,0.02,60,10,True,499,5.216464253198689,19.8070524000359,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7201043028750376,0.7273807778299582,-0.07230647563823632,0.5836726961930442,-0.7121804308468912,0.7096834025173889,0.224968979905733,0.5712492607591987,-0.6912297691156412,1.017437678492621,0.19453105392475864,0.4182063319523378,337.047871904224,342.26240651956624,340.61543992876267,342.52721239987466,339.57754770041,339.79419901398563,341.00622778368006,341.0539249074908,True,1.034129500068957,4.776562952413162,-0.7789372049768802,0.8597296383041629,0.05810173045634865,0.5769231454899636,-0.8072682427619364,0.7856407583221813,-0.02599714166024119,0.5840883077233925,-0.8342425002111756,1.1293865733146407,0.26692925202722606,0.4974391224492308,323.7401433524021,330.9020800861563,332.98775335436517,323.767609288787,328.87485103606593,329.138119543187,326.57362257490547,326.4554710886063,5.0,3.5,3.814244275657455,48.29849704303202,57.45111740770125,49.781495970119764,56.881949958385185,45.54064994259046,56.21068537930015,48.74620292621629,57.35933775333851
14,circle_xy,False,10.0,0.02,60,10,True,499,4.26591409752763,19.861077899964585,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7245629138113499,0.7251057018893319,-0.11767155255600685,0.5751185000878358,-0.7108185652100575,0.7095495832969283,0.10199181691395733,0.525225705778723,-0.9911270344436651,0.6483895229762778,-0.22081319193641016,0.42933294141387324,342.77078796721264,339.26460088295323,342.77078796141075,341.2985033571956,342.5333685050989,337.1267739262156,342.7707879399418,338.549923774793,True,0.9514086000563111,4.769571743407771,-0.8393473545294301,0.8334142299143273,-0.22837370426562398,0.5560797624190619,-0.7523769266230663,0.657468600298516,-0.10688516670731034,0.5328995842160131,-1.2409562723833008,0.3321508992192947,-0.2701375432006738,0.38726440835636133,328.59974112021575,331.9829420819697,334.39147169300736,334.53871176717803,329.68831061241036,333.96037273637876,335.2331302888192,328.0960572252883,5.0,3.8,2.6813377573031194,46.88720893061199,48.73417068115666,50.15829544830695,46.717737162657755,51.358855628237045,46.35520656316493,48.82084105927048,45.47077274501723
15,circle_xy,False,10.0,0.02,60,10,True,499,4.090582676773144,18.883874899998773,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7102599570045586,0.7227127412118682,0.14540593221428447,0.565135283747483,-0.7104732578497542,0.710048315033782,-0.11615515845341298,0.5275536873251386,-1.0002061306927983,0.4419812541496503,-0.1989323162769835,0.3709816952974804,342.7707878895947,341.24081974534226,342.7707877914679,340.3290692816512,342.0605549900544,341.5413013629823,342.6885495345058,342.0560830758963,True,0.9487212000167347,6.287993963213131,-0.7730116549955924,0.8193507345874408,0.22168948442905834,0.5193563824082509,-0.7596356871138696,0.8220703911009436,0.013277959294421385,0.5068036685025591,-1.2140231671341986,1.2677467763413774,0.008872174603803004,0.6771052107108728,325.01790470108625,331.29403922445425,331.66440264614386,326.2532473297083,329.3917696239805,333.14734819791624,333.35029210422056,331.66294097974935,5.0,4.0,4.101071500237978,48.02354461855094,43.61788425867051,49.08427895190132,45.41939876222015,45.66395516053943,43.01348499038876,45.20906176204963,44.47767600447791
16,circle_xy,False,10.0,0.02,60,10,True,499,4.691019216788494,18.42658640001173,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7294408982598419,0.7195468029841854,0.07799146587621769,0.5910078091408085,-0.710130282767511,0.7104317775476879,0.18751470211176924,0.4896873940133544,-1.007252099146937,0.8893381533108076,-0.18107485306774132,0.4766387464040326,342.770787939065,342.77078793461266,342.77078798027964,342.77078798359724,342.7707879849508,342.77078208191944,342.7707879211351,342.0134313535573,True,0.9383582000009483,5.012469636187952,-0.7735290849861925,0.8003015352020799,0.16607184252426577,0.5872029660090323,-0.7546907036862005,0.7217912289690404,0.10823129574638389,0.48001469037232253,-0.9458258532915641,0.8719507207068686,-0.14280944331404455,0.4727539170728377,326.4301057227685,337.201096832584,333.2815181013811,329.10916220281604,328.84656055920993,334.73005924496425,331.87426439796883,336.18891957480446,5.0,4.2,2.9523305636930304,56.543241705722295,57.705997255237264,56.4550379861391,56.70994198856269,56.64460648707551,56.92015967017917,58.410198622834876,57.18535925757985
17,circle_xy,False,10.0,0.02,60,10,True,499,3.831213553005171,18.911700599914184,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7150086399948007,0.7197590966051175,0.015666749737698295,0.5487138212621133,-0.7014732326883079,0.7079567190975706,-0.16056698665105887,0.4940704967723167,-0.74181630100563,0.9811461400305117,0.2032755548446992,0.38652461907786245,341.0102930032586,342.77078734492005,339.24241175035064,342.7707875477262,338.75781948450776,342.77078768817637,340.8325897799771,342.77078733745367,True,0.9054658000313793,3.8139123660283945,-0.7595684093789221,0.754561046737473,0.0021826727898812664,0.5622088187271763,-0.7957819701193021,0.7270787787653012,-0.17444643066249688,0.5254718697126087,-1.0426144622666378,1.0618236435609647,0.07720114237869549,0.490207533337183,326.9821510974881,330.83773775012907,331.64951536244723,329.17202118045856,328.6991145240112,332.9996301976969,334.424652035122,332.4799373417209,5.0,4.5,2.084994467224136,41.18414094270881,51.70593393844286,47.36486165824178,50.54874958079906,42.05765710967922,51.200723707056,40.06922496490552,51.50174524114633
18,circle_xy,False,10.0,0.02,60,10,True,499,3.691753337041291,18.283947399999306,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.727817571880336,0.7196531061333891,-0.11798613534500849,0.5303205100895072,-0.7007171795361171,0.7021047822815701,0.0714787766031248,0.5130884653996174,-1.0149699219339152,0.753340129960771,-0.09402002206459657,0.46471641145291825,339.2581061979828,341.2394290406183,338.9030549699629,340.05961602130645,339.63041803683416,341.98143394521986,341.53170197043977,342.065160037909,True,0.9667335000049206,4.164301592531919,-0.7374281073969922,0.7693032547315313,0.12102258320625449,0.527301853959093,-0.7152494216522506,0.7195546155467495,0.17142579728174037,0.4892070725845049,-0.9336552799932158,0.7033309758742791,-0.039723865612899756,0.3806492547568345,332.8269389831093,333.93641822413235,334.99063283089697,326.2813691005754,332.79899249994776,332.82374612959904,335.62755237908357,335.40120133867396,5.0,4.8,2.6114781733204824,39.06051759143055,42.78812428668235,39.36793991225381,43.035994511787266,39.28753138085463,41.48127825838154,39.465837319168635,42.53261971027343
19,circle_xy,False,10.0,0.02,60,10,True,499,3.3302695107732805,18.574607799957448,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7396665873342861,0.7169208765963945,-0.09482965256809078,0.4976362027186064,-0.7032574987452938,0.7014965107171113,-0.02095881131676252,0.5005997219273745,-0.8423080671855847,0.93951572752155,0.16827578531685017,0.3849428992176769,326.0833960714787,330.9842699751987,336.22611272328214,335.14755452447173,327.3096854771843,326.8518049679028,341.5713377859426,336.70838853868133,True,0.9321559999370947,3.707233591987424,-0.859300431815855,0.7491252957535262,-0.13947571843933235,0.5243892194644887,-0.7897884838404018,0.719479435839943,-0.001162648384983811,0.5509993526476232,-1.219652358755172,1.0408297671904458,0.0803313917691911,0.5305416565255148,331.7096116721951,330.1833725061924,337.6679208975553,324.98214440909373,340.7916045156194,329.2499715345125,338.39182815211484,330.5063993181058,5.0,5.0,1.2460829081612936,26.417117794541447,27.525205907187075,27.45030102670731,25.405969790845816,26.387402201211877,30.520097349587576,25.176609098358576,28.169643347510203
